File,Winner,Loser,Why_Features
vendor/mlx-swift-lm/Libraries/MLXLLM/LLMModelFactory.swift,Patch,Vendor,"Adds/keeps model-type routing for unsupported architectures (glm_moe_dsa, minimax_m2, kimi_k25, qwen3_5_moe, joyai_llm_flash, etc.)."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/DeepseekV3.swift,Patch,Vendor,"Keeps patched behavior used by Kimi/JoyAI mappings and compatibility paths not present upstream."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/GLM4MOELite.swift,Patch,Vendor,"Retains patch-side MoE behavior/compatibility expected by your model set."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/NemotronH.swift,Patch,Vendor,"Retains patched Nemotron handling used in your prior validated runs."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/Qwen3Next.swift,Patch,Vendor,"Keeps patch-side Qwen3Next behavior and gated-delta integration expected by patched stack."
vendor/mlx-swift-lm/Libraries/MLXLMCommon/Evaluate.swift,"Patch (with compat shim)",Vendor,"Preserves advanced generation features: top_k, min_p, presence_penalty, seed, logprobs/top_logprobs; includes compatibility overload for newer container API."
vendor/mlx-swift-lm/Libraries/MLXLMCommon/Load.swift,Patch,Vendor,"Keeps patch-side loader behavior needed for extended model support."
vendor/mlx-swift-lm/Libraries/MLXLMCommon/Tokenizer.swift,Patch,Vendor,"Keeps patch-side tokenizer behavior used by patched generation/tool-call paths."
vendor/mlx-swift-lm/Libraries/MLXVLM/Models/Qwen3VL.swift,Patch,Vendor,"Keeps your performance/behavior-tuned Qwen3VL implementation."
vendor/mlx-swift-lm/Libraries/MLXVLM/VLMModelFactory.swift,Patch,Vendor,"Adds/keeps VLM routing for patched architectures (e.g., qwen3_5_moe VL)."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/GatedDelta.swift,"Patch (new file)",N/A,"New model primitive required by patched Qwen3.5 MoE path."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/Qwen3_5MoE.swift,"Patch (new file)",N/A,"Adds unsupported model architecture support (qwen3_5_moe)."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/MiniMaxM2.swift,"Patch (new file)",N/A,"Adds unsupported minimax_m2 architecture support."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/GLM5MoeDsa.swift,"Patch (new file)",N/A,"Adds unsupported glm_moe_dsa architecture support."
vendor/mlx-swift-lm/Libraries/MLXLLM/Models/KimiK25.swift,"Patch (new file)",N/A,"Adds unsupported kimi_k25 architecture support."
vendor/mlx-swift-lm/Libraries/MLXVLM/Models/Qwen3_5MoEVL.swift,"Patch (new file)",N/A,"Adds unsupported Qwen3.5 MoE VLM architecture support."
vendor/mlx-swift-lm/Tests/MLXLMTests/SamplerTests.swift,"Patch (new file)",N/A,"Adds test coverage for patched sampling behavior."
